Year,JulianDay,Hour,Minute,Second,Latitude,Longitude,Depth(km)
2014,1,3,44,10.8875,0.32848,-78.35000,15.3626
2014,2,4,17,58.9386,-1.40276,-80.38113,19.7631
2014,2,6,46,29.8698,-2.07654,-79.73287,81.0355
2014,3,23,53,59.6823,-2.28119,-79.10525,34.9297
2014,4,0,40,47.1311,-0.97187,-78.54375,14.8072
2014,4,1,55,17.0577,-1.07014,-78.47938,7.1059
2014,4,7,32,11.3148,-1.56400,-80.71438,38.7475
2014,4,14,26,57.8075,-2.11612,-79.76950,54.1469
2014,5,3,57,32.6795,-1.23923,-78.98612,70.2659
2014,5,4,18,45.1044,-2.07728,-79.85938,76.5605
2014,5,16,29,37.3177,-2.16489,-79.60850,83.6206
2014,5,18,20,54.4191,-0.21504,-78.49775,3.1755
2014,5,18,32,56.1037,-0.21000,-78.48450,1.0255
2014,5,18,45,55.5066,-0.22007,-78.48688,-0.2245
2014,5,19,32,39.3982,-0.21353,-78.48988,3.5255
2014,7,0,46,8.3698,-2.23910,-79.86112,66.3560
2014,7,4,20,28.0339,-0.06138,-77.77375,13.1383
2014,7,5,35,39.4971,-0.05270,-77.78875,5.2758
2014,7,11,9,30.4334,0.07730,-78.73075,19.7758
2014,7,20,33,24.2829,0.90121,-79.60687,21.4706
2014,8,8,9,8.7775,-3.60869,-79.48975,65.1918
2014,8,14,45,39.5168,-2.95954,-79.91625,53.1318
2014,8,16,51,40.9087,0.01702,-77.76512,13.8008
2014,8,22,4,35.5716,-3.58040,-79.53587,72.0306
2014,9,10,16,3.3979,-1.57580,-80.53438,20.2598
2014,9,15,43,12.0340,-1.32261,-78.05625,27.0895
2014,9,17,11,58.8676,-1.28522,-78.41775,16.7527
2014,10,6,47,40.9653,-2.39843,-79.84062,68.7512
2014,10,14,31,46.4493,0.33238,-78.10000,8.8626
2014,10,16,58,12.8860,-1.18026,-78.39750,13.1793
2014,11,17,12,25.8962,-2.06734,-80.46825,19.9982
2014,11,22,47,30.0123,-1.20858,-78.40250,16.9289
2014,14,4,56,25.1746,-1.06847,-79.28750,87.4435
2014,14,5,9,19.6664,-1.07279,-78.41737,12.2309
2014,15,0,13,57.3343,-2.32078,-78.99375,16.5661
2014,17,9,3,44.5293,-2.99624,-80.28350,38.5179
2014,17,14,16,19.0977,-3.52421,-79.53237,54.6957
2014,17,14,38,9.0101,-2.21372,-79.70175,82.0442
2014,17,17,27,1.5164,0.53461,-78.75813,13.3865
2014,17,22,19,57.7288,-1.48233,-80.36638,38.3491
2014,18,19,45,37.9669,-2.00973,-79.61000,88.9998
2014,19,0,37,9.2803,-1.13244,-78.35000,10.4675
2014,20,2,18,9.1713,0.13858,-78.71125,14.5257
